,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
39,"Denver, Colorado, United States",within an hour,100.0,97.0,f,host neighbourhood not available,2,"['email', 'phone']",f,"Denver, Colorado, United States",Entire guest suite,Entire home/apt,2.0,1,150,t,25,310,40,3,4.65,4.71,4.71,4.9,4.86,4.72,4.64,f,111.41369863013699,111.41369863013699,22.975173623735557,5.0,6.0,2.79,55,81,355,107.63287671232877,97.26027397260275,1 bath,18.5689497716895,1.2,0.0,20.621497990123146
40,"Denver, Colorado, United States",within an hour,100.0,100.0,t,Capitol Hill,1,"['email', 'phone']",t,"Denver, Colorado, United States",Entire home,Entire home/apt,1.0,30,120,t,0,322,13,0,4.91,4.97,4.94,4.95,4.95,4.92,4.92,f,106.36438356164383,106.36438356164383,3.219334185779573,2.0,3.0,2.92,6,26,301,87.01095890410959,82.46575342465754,1 bath,35.45479452054794,1.5,0.0,3.0267031857649953
41,"Denver, Colorado, United States",within a few hours,100.0,100.0,t,Highland,2,"['email', 'phone']",t,"Denver, Colorado, United States",Entire loft,Entire home/apt,1.0,29,1125,t,0,67,4,1,4.85,4.92,4.77,4.97,4.95,4.92,4.77,f,145.0,145.0,0.0,2.2412833827893177,2.0,0.6,13,43,318,126.32876712328768,87.12328767123287,1 bath,72.5,1.985244965428569,0.0,0.0
42,"Denver, Colorado, United States",a few days or more,0.0,0.0,f,Congress Park,1,"['email', 'phone']",t,"Denver, Colorado, United States",Entire bungalow,Entire home/apt,2.0,30,365,t,0,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,150.0,150.0,0.0,3.0,4.0,0.03,11,41,316,129.86301369863014,86.57534246575342,1 bath,37.5,1.3333333333333333,0.0,0.0
43,United States,within an hour,100.0,100.0,f,CBD,25,"['email', 'phone']",t,"Denver, Colorado, United States",Entire condo,Entire home/apt,1.0,30,1125,t,0,12,1,1,4.75,4.83,4.83,4.75,4.75,4.92,4.64,t,125.04383561643836,125.04383561643836,0.4170099945339156,1.0,2.0,0.12,26,56,331,113.4,90.68493150684932,1 bath,62.52191780821918,2.0,0.0,0.33349104534273827
44,"Denver, Colorado, United States",within a day,86.0,89.0,f,Berkeley,6,"['email', 'phone']",f,"Denver, Colorado, United States",Entire guest suite,Entire home/apt,2.0,30,1125,t,0,33,4,0,4.88,4.88,4.79,4.97,4.97,4.94,4.91,f,165.04383561643834,165.04383561643834,0.8374782761443402,3.0,4.0,0.31,4,13,288,130.23561643835617,78.9041095890411,1 bath,41.260958904109586,1.3333333333333333,0.0,0.5074277830591859
45,"Denver, Colorado, United States",within a day,86.0,89.0,f,Berkeley,6,"['email', 'phone']",f,neighbourhood not available,Entire guest suite,Entire home/apt,1.0,30,365,t,0,44,5,0,4.72,4.82,4.57,4.95,4.91,4.91,4.82,f,145.0082191780822,145.0082191780822,0.15702717677706673,3.0,3.0,0.39,3,5,190,75.47945205479452,52.054794520547944,1 bath,48.33607305936073,1.0,0.0,0.10828846645183902
46,"Denver, Colorado, United States",within an hour,100.0,50.0,f,Sunnyside,1,"['email', 'phone']",t,neighbourhood not available,Entire home,Entire home/apt,2.0,30,1125,t,2,5,0,0,4.6,4.8,4.8,5.0,4.8,4.6,5.0,f,107.6027397260274,107.6027397260274,7.509590436051495,2.0,4.0,0.05,2,3,278,80.35616438356165,76.16438356164383,1.5 baths,26.90068493150685,2.0,0.0,6.978995567558996
47,"Denver, Colorado, United States",within an hour,100.0,90.0,f,Lincoln Park,3,"['email', 'phone']",t,"Denver, Colorado, United States",Entire home,Entire home/apt,1.0,1,1125,t,29,90,27,2,4.69,4.79,4.68,4.83,4.85,4.71,4.53,f,240.58356164383562,240.58356164383562,57.449851551799505,1.0,2.0,0.83,58,88,267,182.3178082191781,73.15068493150685,1 bath,120.29178082191781,2.0,0.0,23.879375282027514
48,"Coeur d'Alene, Idaho, United States",within an hour,100.0,100.0,t,Baker,2,"['email', 'phone']",t,"Denver, Colorado, United States",Entire home,Entire home/apt,1.0,30,90,t,18,43,0,0,4.9,4.9,4.95,5.0,4.88,4.97,4.9,t,160.04657534246576,160.04657534246576,0.5552155783128955,2.0,3.0,0.4,48,77,77,33.78904109589041,21.095890410958905,1 bath,53.34885844748859,1.5,0.0,0.3469087527332914
49,"Los Angeles, California, United States",response not available,97.30020366598778,0.0,f,Cole,3,"['email', 'phone', 'work_email']",t,"Denver, Colorado, United States",Entire home,Entire home/apt,3.0,30,60,t,0,54,0,0,4.54,4.75,4.55,4.78,4.96,3.92,4.51,f,135.7041095890411,135.7041095890411,5.876018461083171,4.0,6.0,0.49,0,0,0,0.0,0.0,2 baths,22.617351598173517,1.5,0.0,4.330022487069686
50,"Denver, Colorado, United States",within a day,90.0,79.0,t,Cheesman Park,3,"['email', 'phone']",f,neighbourhood not available,Private room in home,Private room,1.0,29,1125,t,1,158,3,0,4.7,4.74,4.63,4.87,4.9,4.86,4.76,f,68.0,68.0,0.0,1.0,2.0,1.48,21,51,295,54.95890410958904,80.82191780821918,1 bath,34.0,2.0,0.0,0.0
51,"Denver, Colorado, United States",within a day,90.0,79.0,t,Cheesman Park,3,"['email', 'phone']",f,"Denver, Colorado, United States",Private room in home,Private room,1.0,29,1125,t,4,183,3,0,4.71,4.73,4.55,4.91,4.87,4.85,4.76,f,58.0,58.0,0.0,2.0,3.0,1.66,30,60,335,53.23287671232877,91.78082191780823,1 bath,19.333333333333332,1.5,0.0,0.0
52,"Los Angeles, California, United States",response not available,97.30020366598778,0.0,f,Cole,3,"['email', 'phone', 'work_email']",t,"Denver, Colorado, United States",Private room in home,Private room,1.0,30,31,t,0,9,0,0,4.78,4.78,4.67,5.0,4.89,4.11,4.67,f,47.0,47.0,0.0,1.0,2.0,0.1,0,0,0,0.0,0.0,1 bath,23.5,2.0,0.0,0.0
53,"Denver, Colorado, United States",within a few hours,100.0,89.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Denver, Colorado, United States",Entire home,Entire home/apt,5.0,4,365,t,3,18,0,0,4.61,4.67,4.61,5.0,4.94,4.94,4.89,f,218.0,218.0,0.0,5.0,10.0,0.17,3,3,3,1.7917808219178082,0.821917808219178,2 baths,21.8,2.0,0.0,0.0
54,"Denver, Colorado, United States",within an hour,90.0,100.0,t,Capitol Hill,2,"['email', 'phone']",t,"Denver, Colorado, United States",Entire townhouse,Entire home/apt,2.0,2,365,t,0,164,15,1,4.9,4.91,4.8,4.95,4.96,4.86,4.74,f,261.91506849315067,261.91506849315067,57.81275114880496,2.0,6.0,1.53,3,10,10,7.260273972602739,2.73972602739726,2 baths,43.65251141552511,3.0,0.0,22.073090899814655
55,"Denver, Colorado, United States",within an hour,100.0,94.0,t,West Colfax,1,"['email', 'phone']",t,"Denver, Colorado, United States",Entire home,Entire home/apt,5.0,4,30,t,1,129,21,3,4.96,4.95,4.96,5.0,4.98,4.77,4.95,f,245.0,245.0,0.0,6.0,10.0,1.21,2,4,135,90.61643835616438,36.986301369863014,2 baths,24.5,1.6666666666666667,0.0,0.0
56,"Denver, Colorado, United States",within an hour,100.0,98.0,t,Berkeley,2,"['email', 'phone']",t,"Denver, Colorado, United States",Entire guest suite,Entire home/apt,1.0,1,60,t,17,313,106,8,4.75,4.85,4.88,4.95,4.98,4.85,4.68,f,106.2958904109589,106.2958904109589,20.000003010687735,1.0,2.0,4.56,46,76,76,25.671232876712327,20.82191780821918,1 bath,53.14794520547945,2.0,0.0,18.81540568818244
