,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
34,Belize,within an hour,97.0,99.0,f,host neighbourhood not available,12,"['email', 'phone']",t,Belize,Entire rental unit,Entire home/apt,1.0,1,1125,t,23,123,2,0,4.62,4.71,4.69,4.84,4.79,4.24,4.66,t,83.86575342465754,83.86575342465754,2.3524723479405116,1.0,2.0,1.11,51,51,315,72.51780821917808,86.3013698630137,1 bath,41.93287671232877,2.0,0.0,2.805045268035303
35,Belize,within an hour,97.0,99.0,f,host neighbourhood not available,12,"['email', 'phone']",t,Belize,Entire rental unit,Entire home/apt,1.0,1,1125,t,29,163,8,0,4.47,4.61,4.58,4.78,4.77,3.98,4.49,f,103.32876712328768,103.32876712328768,11.76236173970259,1.0,2.0,1.43,56,80,355,101.16438356164383,97.26027397260275,1 bath,51.66438356164384,2.0,0.0,11.383433739868606
36,Belize,within an hour,97.0,99.0,f,host neighbourhood not available,12,"['email', 'phone']",t,Belize,Entire rental unit,Entire home/apt,1.0,1,1125,t,22,147,9,0,4.36,4.59,4.48,4.79,4.71,4.08,4.5,f,84.84109589041095,84.84109589041095,8.625731942448558,1.0,2.0,1.36,52,82,357,83.37260273972603,97.80821917808218,1 bath,42.42054794520548,2.0,0.0,10.166926596033598
37,"Minturn, CO",within an hour,97.0,100.0,t,host neighbourhood not available,21,"['email', 'phone']",t,"Caye Caulker, Belize",Room in aparthotel,Hotel room,1.0,1,1125,t,5,17,0,0,4.59,5.0,4.81,5.0,4.94,4.41,4.53,t,408.372602739726,408.372602739726,81.86969219482422,1.0,2.0,0.15,10,21,163,199.33424657534246,44.657534246575345,1 private bath,204.186301369863,2.0,0.0,20.04779254180365
38,host location not available,within an hour,100.0,100.0,f,host neighbourhood not available,5,"['email', 'phone']",f,"Copper Bank, Corozal, Belize",Entire home,Entire home/apt,2.0,2,1125,t,30,39,5,0,4.84,4.95,4.86,4.78,4.92,4.57,4.76,f,409.23561643835615,409.23561643835615,51.3623129300347,2.0,6.0,0.35,60,90,309,342.64931506849314,84.65753424657534,1 bath,68.20593607305936,3.0,0.0,12.550792469396782
39,"Los Angeles, CA",within an hour,100.0,95.0,t,host neighbourhood not available,6,"['email', 'phone']",t,"Belize City, Belize",Entire rental unit,Entire home/apt,2.0,1,1125,t,29,24,5,0,4.83,4.88,4.92,4.83,4.96,4.25,4.88,f,263.0054794520548,263.0054794520548,0.10468478451804317,2.0,4.0,0.34,55,69,139,100.16164383561645,38.082191780821915,2 baths,65.7513698630137,2.0,0.0,0.039803271299192436
40,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,4,"['email', 'phone']",t,"Caye Caulker, Belize",Entire rental unit,Entire home/apt,1.7646198830409356,3,1125,t,30,193,29,1,4.96,4.97,4.99,4.98,4.98,4.85,4.93,t,145.78630136986303,145.78630136986303,5.2065395024186,2.0,3.0,1.81,56,78,266,106.41643835616438,72.87671232876713,1 bath,48.59543378995434,1.5,0.0,3.5713502938863204
41,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,4,"['email', 'phone']",t,"Caye Caulker, Belize",Entire rental unit,Entire home/apt,1.7646198830409356,3,1125,t,8,230,30,1,4.96,4.97,4.96,4.99,4.99,4.83,4.9,t,145.29041095890412,145.29041095890412,3.1102526479283883,2.0,3.0,2.17,31,46,214,85.25479452054795,58.63013698630137,1 bath,48.43013698630137,1.5,0.0,2.1407143302857983
42,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,4,"['email', 'phone']",t,"Caye Caulker, Belize",Tiny home,Entire home/apt,1.7646198830409356,3,1125,t,26,201,30,3,4.96,4.96,4.95,4.96,4.97,4.84,4.92,t,126.0931506849315,126.0931506849315,6.20723454126785,1.0,2.0,1.89,47,62,279,96.44657534246575,76.43835616438356,1 bath,63.04657534246575,2.0,0.0,4.922737283944823
43,"Colorado, United States",within an hour,100.0,100.0,t,host neighbourhood not available,10,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,1,365,t,9,129,13,1,4.82,4.84,4.9,4.91,4.92,4.6,4.77,t,302.2958904109589,302.2958904109589,68.89923450976737,2.0,2.0,1.27,39,55,286,244.32876712328766,78.35616438356165,1 bath,151.14794520547946,1.0,0.0,22.791985169266336
44,"Belize City, Belize",within an hour,100.0,99.0,t,host neighbourhood not available,34,"['email', 'phone']",t,neighbourhood not available,Entire home,Entire home/apt,2.0,2,1125,t,26,89,17,0,4.92,4.93,4.97,4.93,4.92,4.79,4.86,t,278.9205479452055,278.9205479452055,16.37311316957673,2.0,4.0,0.9,46,73,296,225.5917808219178,81.0958904109589,1 bath,69.73013698630137,2.0,0.0,5.870171018304919
45,"San Pedro, Belize",within an hour,100.0,100.0,t,host neighbourhood not available,8,['phone'],t,"San Pedro, Belize",Entire guesthouse,Entire home/apt,1.0,1,1125,t,21,262,17,1,4.82,4.91,4.88,4.98,4.95,4.67,4.84,t,170.55616438356165,170.55616438356165,6.54151968223925,2.0,3.0,2.43,51,81,320,149.35068493150686,87.67123287671232,1 bath,56.85205479452055,1.5,0.0,3.8354050150471886
46,"Colorado, United States",within an hour,100.0,100.0,t,host neighbourhood not available,10,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,1,365,t,11,151,15,1,4.85,4.85,4.9,4.97,4.89,4.66,4.82,t,345.45205479452056,345.45205479452056,51.10349364841808,3.0,4.0,1.38,20,30,240,227.2082191780822,65.75342465753424,1 bath,86.36301369863014,1.3333333333333333,0.0,14.793223238696642
47,"Minturn, CO",within an hour,97.0,100.0,t,host neighbourhood not available,21,"['email', 'phone']",t,"Caye Caulker, Belize",Room in aparthotel,Hotel room,2.0,2,1125,t,22,25,1,0,4.8,4.88,4.92,4.96,4.76,4.8,4.72,t,463.63013698630135,463.63013698630135,88.18685002787161,2.0,3.0,0.27,26,30,164,216.52328767123288,44.93150684931507,1 private bath,154.54337899543378,1.5,0.0,19.020948595168054
48,"San Ignacio, Belize",within an hour,100.0,100.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"San Ignacio, Cayo, Belize",Entire rental unit,Entire home/apt,2.0,2,1125,t,25,16,10,2,4.81,4.94,4.88,4.88,4.88,5.0,4.56,t,131.0,131.0,0.0,3.0,6.0,0.31,52,65,305,109.46575342465754,83.56164383561644,1 bath,21.833333333333332,2.0,0.0,0.0
49,"Belize City, Belize",within an hour,100.0,99.0,t,host neighbourhood not available,34,"['email', 'phone']",t,neighbourhood not available,Entire cabin,Entire home/apt,2.0,2,1125,t,15,71,7,0,4.83,4.8,4.88,4.81,4.86,4.8,4.83,t,244.95342465753424,244.95342465753424,14.347742501447842,2.0,4.0,0.79,32,48,244,163.0849315068493,66.84931506849315,2 baths,61.23835616438356,2.0,0.0,5.857334928673566
50,"Jackson, MS",within a day,100.0,94.0,t,host neighbourhood not available,3,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Entire home,Entire home/apt,3.0,2,1125,t,30,40,7,0,4.9,4.93,4.95,4.97,4.87,4.64,4.89,f,321.0,321.0,0.0,4.0,6.0,0.53,54,82,249,218.98356164383563,68.21917808219177,2 baths,53.5,1.5,0.0,0.0
51,"London, United Kingdom",within a day,100.0,67.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Bullet Tree Falls, Cayo District, Belize",Entire home,Entire home/apt,1.0,5,50,t,24,0,0,0,4.685086442220193,4.742401466544451,4.772653528872584,4.823373052245643,4.785879926672776,4.728010999083404,4.696911090742434,f,137.23835616438356,137.23835616438356,18.311728588087654,2.0,4.0,0.6407142857142856,54,83,83,25.923287671232877,22.73972602739726,1 bath,34.30958904109589,2.0,0.0,13.343010729561595
52,"Tucson, AZ",within an hour,100.0,100.0,t,host neighbourhood not available,29,"['email', 'phone']",t,"San Pedro, Ambergris Caye, Belize",Entire rental unit,Entire home/apt,3.0,3,31,t,21,12,3,0,4.67,4.92,4.83,4.92,5.0,4.5,4.5,t,543.9589041095891,543.9589041095891,69.78476296193077,5.0,8.0,0.11,42,59,250,360.8821917808219,68.4931506849315,2 baths,67.99486301369863,1.6,0.0,12.829050583547675
53,United States,within an hour,100.0,98.0,t,host neighbourhood not available,59,"['email', 'phone', 'work_email']",t,"San Pedro, Ambergris Caye, Belize",Entire condo,Entire home/apt,3.0,3,1125,t,7,13,3,0,5.0,4.77,4.85,5.0,5.0,4.85,4.85,t,547.6082191780822,547.6082191780822,76.09199491734499,5.0,6.0,0.14,21,36,236,346.46849315068494,64.65753424657534,2 baths,91.26803652968037,1.2,0.0,13.895334703257964
54,"Belize City, Belize",within an hour,100.0,100.0,f,host neighbourhood not available,8,"['email', 'phone']",t,"Belize City, Belize",Private room,Private room,1.0,1,2,t,0,39,1,0,4.49,4.79,4.71,4.95,4.92,4.47,4.34,f,101.0,101.0,0.0,1.0,2.0,0.38,0,21,296,81.9068493150685,81.0958904109589,1 bath,50.5,2.0,0.0,0.0
55,Belize,within an hour,100.0,99.0,f,host neighbourhood not available,5,"['email', 'phone']",t,"Caye Caulker, Belize",Entire guesthouse,Entire home/apt,1.0,3,28,t,10,236,20,0,4.88,4.92,4.89,4.97,4.97,5.0,4.85,f,155.26027397260273,155.26027397260273,8.354158333620111,1.0,2.0,2.22,34,49,243,103.06301369863014,66.57534246575342,1 bath,77.63013698630137,2.0,0.0,5.380744294637975
56,"Ladyville, Belize",within an hour,86.0,100.0,t,host neighbourhood not available,8,"['email', 'phone']",t,"Ladyville , Belize",Room in boutique hotel,Hotel room,1.0,1,365,t,30,6,3,0,5.0,5.0,5.0,5.0,5.0,4.83,4.5,t,180.0,180.0,0.0,2.0,4.0,0.06,60,90,365,180.0,100.0,1 private bath,45.0,2.0,0.0,0.0
57,United States,within an hour,100.0,98.0,t,host neighbourhood not available,59,"['email', 'phone', 'work_email']",t,"San Pedro, Ambergris Caye, Belize",Entire condo,Entire home/apt,3.0,3,1125,t,14,14,6,0,4.93,4.93,4.86,4.86,5.0,4.93,4.79,t,547.6082191780822,547.6082191780822,76.09199491734499,4.0,8.0,0.17,39,47,263,383.47945205479454,72.05479452054794,2 baths,68.45102739726028,2.0,0.0,13.895334703257964
58,United States,within an hour,100.0,98.0,t,host neighbourhood not available,59,"['email', 'phone', 'work_email']",t,"San Pedro, Ambergris Caye, Belize",Entire condo,Entire home/apt,3.0,3,1125,t,26,25,4,0,4.8,4.88,4.72,4.96,5.0,4.8,4.8,t,547.6082191780822,547.6082191780822,76.09199491734499,5.0,8.0,0.25,49,67,298,439.5972602739726,81.64383561643835,2 baths,68.45102739726028,1.6,0.0,13.895334703257964
59,"New Orleans, LA",within an hour,94.0,81.0,f,host neighbourhood not available,28,"['email', 'phone']",t,"Caye Caulker, Belize",Entire rental unit,Entire home/apt,1.0,1,45,t,26,90,8,0,4.33,4.51,4.53,4.69,4.56,4.69,4.47,f,76.2986301369863,76.2986301369863,9.091181773037423,2.0,4.0,0.85,38,58,288,60.465753424657535,78.9041095890411,1 bath,19.074657534246576,2.0,0.0,11.915262117701388
