,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
33,"Antwerp, Flanders, Belgium",within a few hours,100.0,61.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,1,1125,t,27,19,5,3,4.53,4.79,4.58,5.0,5.0,4.89,4.63,f,79.75342465753425,79.75342465753425,1.5529201659126008,1.0,2.0,0.25,57,82,357,78.08219178082192,97.80821917808218,1 bath,39.87671232876713,2.0,0.0,1.94715170236379
34,"Antwerpen, Vlaams Gewest, Belgium",within an hour,100.0,62.0,f,host neighbourhood not available,3,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Private room in loft,Private room,1.0,1,1125,t,27,43,6,2,4.57,4.49,4.71,4.54,4.69,4.76,4.54,f,74.52054794520548,74.52054794520548,12.785540413098499,1.0,2.0,0.42,57,87,87,13.347945205479451,23.835616438356162,2.5 shared baths,37.26027397260274,2.0,0.0,17.157067098459382
35,"Antwerp, Flanders, Belgium",within an hour,100.0,91.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaams Gewest, Belgium",Entire condo,Entire home/apt,1.0,2,7,t,3,113,4,4,4.38,4.61,4.38,4.81,4.74,4.28,4.42,f,83.61917808219178,83.61917808219178,9.61055763230799,2.0,4.0,1.31,29,59,237,53.657534246575345,64.93150684931507,1 bath,20.904794520547945,2.0,0.0,11.493245751424976
36,"Antwerp, Flanders, Belgium",within a few hours,80.0,0.0,f,host neighbourhood not available,3,"['email', 'phone']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,2,4,t,1,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,85.0,85.0,0.0,1.0,2.0,0.02,1,1,1,0.2328767123287671,0.273972602739726,1 shared bath,42.5,2.0,0.0,0.0
37,"Zoersel, Flanders, Belgium",within a day,100.0,13.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,1,1125,t,20,0,0,0,4.651443358251876,4.72874421296297,4.6470081018518545,4.812164351851857,4.818535879629628,4.753692129629634,4.649218750000006,f,165.0,165.0,0.0,1.0,2.0,1.6528234617596307,48,78,353,159.57534246575344,96.7123287671233,1.5 baths,82.5,2.0,0.0,0.0
38,"Antwerp, Flanders, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,2.0,3,366,t,10,25,13,1,4.92,4.96,5.0,5.0,5.0,5.0,4.88,f,199.4794520547945,199.4794520547945,7.225013002461956,2.0,3.0,0.27,23,46,315,171.82191780821918,86.3013698630137,1.5 baths,66.4931506849315,1.5,0.0,3.6219334513097294
39,"Antwerp, Flanders, Belgium",within a few hours,91.0,85.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire home,Entire home/apt,1.0,2,1125,t,8,178,26,4,4.9,4.89,4.87,4.94,4.91,4.56,4.88,f,65.34246575342466,65.34246575342466,1.264684928862129,1.0,2.0,1.78,11,11,265,47.3013698630137,72.6027397260274,1 bath,32.67123287671233,2.0,0.0,1.9354716940657317
40,"Hove, Flanders, Belgium",within a day,94.0,92.0,t,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,1.0,2,1125,t,1,30,1,0,4.66,4.83,4.83,4.93,4.89,4.61,4.54,f,65.25753424657535,65.25753424657535,1.0453872788098935,2.0,4.0,0.32,6,10,243,43.276712328767125,66.57534246575342,1 bath,16.314383561643837,2.0,0.0,1.6019411258474794
41,BE,within a day,100.0,67.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,1.0,7,1125,t,0,36,3,1,4.94,4.94,4.75,4.97,4.97,4.91,4.94,f,59.24657534246575,59.24657534246575,1.5529201659126077,1.0,2.0,0.36,0,0,0,0.0,0.0,1 bath,29.623287671232877,2.0,0.0,2.6211138060490256
42,"Antwerp, Flanders, Belgium",within a day,100.0,0.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerpen, Vlaanderen, Belgium",Entire loft,Entire home/apt,1.0,10,1125,t,0,8,0,0,5.0,4.88,4.88,4.88,4.88,5.0,5.0,f,70.0,70.0,0.0,1.0,2.0,0.21,0,13,15,2.8767123287671232,4.10958904109589,1.5 baths,35.0,2.0,0.0,0.0
43,"Antwerp, Flanders, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",f,"Antwerp, Flanders, Belgium",Private room in townhouse,Private room,1.0,2,1125,t,12,402,46,6,4.58,4.74,4.89,4.74,4.7,4.53,4.57,t,36.723287671232875,36.723287671232875,3.1496781864195107,1.0,2.0,4.02,37,64,337,33.63013698630137,92.32876712328768,1 shared bath,18.361643835616437,2.0,0.0,8.576787063884822
